Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
18 Ceuta	Duración media de los viajes	Valor absoluto	2017T1	5,16
18 Ceuta	Duración media de los viajes	Valor absoluto	2016T4	3,55
18 Ceuta	Duración media de los viajes	Valor absoluto	2016T3	6,25
18 Ceuta	Duración media de los viajes	Valor absoluto	2016T2	3,08
18 Ceuta	Duración media de los viajes	Valor absoluto	2016T1	4,41
18 Ceuta	Duración media de los viajes	Valor absoluto	2015T4	4,13
18 Ceuta	Duración media de los viajes	Valor absoluto	2015T3	8,25
18 Ceuta	Duración media de los viajes	Valor absoluto	2015T2	3,75
18 Ceuta	Duración media de los viajes	Valor absoluto	2015T1	3,91
18 Ceuta	Duración media de los viajes	Distribución porcentual	2021T2	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2021T1	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2020T4	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2020T3	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2020T2	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2020T1	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2019T4	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2019T3	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2019T2	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2019T1	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2018T4	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2018T3	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2018T2	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2018T1	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2017T4	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2017T3	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2017T2	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2017T1	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2016T4	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2016T3	""
18 Ceuta	Duración media de los viajes	Distribución porcentual	2016T2	""
